uidA	uidB	aliasA	aliasB	method	author	pmid	taxA	taxB	interactionType	sourceBD	confidence	numParticipants	GeneNameA	GeneNameB
P38874	P34253	IKI1	KTI12	psi-mi:MI:0676(tandem affinity purification)	lambert-2010-1	pubmed:21179020	-	taxid:559292(Saccharomyces cerevisiae S288C)	physical	intact	hpr:122|lpr:122|np:1	8	IKI1	KTI12
P50000	Q04868	KTI12	ELP6	psi-mi:MI:0676(tandem affinity purification)	lambert-2010-1	pubmed:21179020	-	taxid:559292(Saccharomyces cerevisiae S288C)	physical	intact	hpr:122|lpr:122|np:1	8	KTI12	ELP6
P42935	Q02884	ELP2	ELP4	Affinity Capture-MS	Krogan NJ (2001)	pubmed:11689709	taxid:559292(Saccharomyces cerevisiae S288c	taxid:559292(Saccharomyces cerevisiae S288c	physical	biogrid	lpr:0000	2	ELP2	ELP4
P42935	P38874	ELP2	ELP5	Affinity Capture-MS	Krogan NJ (2001)	pubmed:11689709	taxid:559292(Saccharomyces cerevisiae S288c	taxid:559292(Saccharomyces cerevisiae S288c	physical	biogrid	lpr:0000	2	ELP2	IKI1
P42935	Q06706	ELP2	ELP1	Co-purification	Winkler GS (2002)	pubmed:11904415	taxid:559292(Saccharomyces cerevisiae S288c	taxid:559292(Saccharomyces cerevisiae S288c	physical	biogrid	lpr:0000	2	ELP2	IKI3
P42935	P34253	ELP2	KTI12	Affinity Capture-Western	Fichtner L (2002)	pubmed:12139626	taxid:559292(Saccharomyces cerevisiae S288c	taxid:559292(Saccharomyces cerevisiae S288c	physical	biogrid	lpr:0000	2	ELP2	KTI12
P42935	P46974	ELP2	RSF2	Affinity Capture-MS	Ho Y (2002)	pubmed:11805837	taxid:559292(Saccharomyces cerevisiae S288c	taxid:559292(Saccharomyces cerevisiae S288c	physical	biogrid	lpr:0000	2	ELP2	RSF2
P38874	Q04868	ELP5	ELP6	Affinity Capture-MS	Krogan NJ (2001)	pubmed:11689709	taxid:559292(Saccharomyces cerevisiae S288c	taxid:559292(Saccharomyces cerevisiae S288c	physical	biogrid	lpr:0000	2	IKI1	ELP6
P42935	Q02908	ELP2	ELP3	Positive Genetic	Costanzo M (2010)	pubmed:20093466	taxid:559292(Saccharomyces cerevisiae S288c	taxid:559292(Saccharomyces cerevisiae S288c	genetic	biogrid	lpr:0000	2	ELP2	ELP3
P42935	Q02884	ELP2	ELP4	Positive Genetic	Wilmes GM (2008)	pubmed:19061648	taxid:559292(Saccharomyces cerevisiae S288c	taxid:559292(Saccharomyces cerevisiae S288c	genetic	biogrid	lpr:0000	2	ELP2	ELP4
P42935	Q04868	ELP2	ELP6	Positive Genetic	Wilmes GM (2008)	pubmed:19061648	taxid:559292(Saccharomyces cerevisiae S288c	taxid:559292(Saccharomyces cerevisiae S288c	genetic	biogrid	lpr:0000	2	ELP2	ELP6
P42935	P61830	ELP2	NA	Synthetic Growth Defect	Kong SE (2005)	pubmed:15563457	taxid:559292(Saccharomyces cerevisiae S288c	taxid:559292(Saccharomyces cerevisiae S288c	genetic	biogrid	lpr:0000	2	ELP2	HHT1
P42935	P38874	ELP2	ELP5	Positive Genetic	Wilmes GM (2008)	pubmed:19061648	taxid:559292(Saccharomyces cerevisiae S288c	taxid:559292(Saccharomyces cerevisiae S288c	genetic	biogrid	lpr:0000	2	ELP2	IKI1
P42935	Q06706	ELP2	ELP1	Positive Genetic	Wilmes GM (2008)	pubmed:19061648	taxid:559292(Saccharomyces cerevisiae S288c	taxid:559292(Saccharomyces cerevisiae S288c	genetic	biogrid	lpr:0000	2	ELP2	IKI3
P42935	P34253	ELP2	KTI12	Positive Genetic	Costanzo M (2010)	pubmed:20093466	taxid:559292(Saccharomyces cerevisiae S288c	taxid:559292(Saccharomyces cerevisiae S288c	genetic	biogrid	lpr:0000	2	ELP2	KTI12
Q02908	P42935	ELP3	ELP2	Positive Genetic	Costanzo M (2010)	pubmed:20093466	taxid:559292(Saccharomyces cerevisiae S288c	taxid:559292(Saccharomyces cerevisiae S288c	genetic	biogrid	lpr:0000	2	ELP3	ELP2
Q02908	Q04868	ELP3	ELP6	Positive Genetic	Collins SR (2007)	pubmed:17314980	taxid:559292(Saccharomyces cerevisiae S288c	taxid:559292(Saccharomyces cerevisiae S288c	genetic	biogrid	lpr:0000	2	ELP3	ELP6
Q02908	Q3E840	ELP3	DPH3	Synthetic Growth Defect	Fichtner L (2002)	pubmed:11994165	taxid:559292(Saccharomyces cerevisiae S288c	taxid:559292(Saccharomyces cerevisiae S288c	genetic	biogrid	lpr:0000	2	ELP3	KTI11
Q02908	P38874	ELP3	ELP5	Positive Genetic	Collins SR (2007)	pubmed:17314980	taxid:559292(Saccharomyces cerevisiae S288c	taxid:559292(Saccharomyces cerevisiae S288c	genetic	biogrid	lpr:0000	2	ELP3	IKI1
Q02908	Q06706	ELP3	ELP1	Positive Genetic	Collins SR (2007)	pubmed:17314980	taxid:559292(Saccharomyces cerevisiae S288c	taxid:559292(Saccharomyces cerevisiae S288c	genetic	biogrid	lpr:0000	2	ELP3	IKI3
Q02908	P50105	ELP3	TAF4	Negative Genetic	Collins SR (2007)	pubmed:17314980	taxid:559292(Saccharomyces cerevisiae S288c	taxid:559292(Saccharomyces cerevisiae S288c	genetic	biogrid	lpr:0000	2	ELP3	TAF4
Q02884	Q01649	ELP4	CIK1	Positive Genetic	Collins SR (2007)	pubmed:17314980	taxid:559292(Saccharomyces cerevisiae S288c	taxid:559292(Saccharomyces cerevisiae S288c	genetic	biogrid	lpr:0000	2	ELP4	CIK1
Q02884	P61830	ELP4	NA	Synthetic Growth Defect	Kong SE (2005)	pubmed:15563457	taxid:559292(Saccharomyces cerevisiae S288c	taxid:559292(Saccharomyces cerevisiae S288c	genetic	biogrid	lpr:0000	2	ELP4	HHT1
Q02884	P38874	ELP4	ELP5	Positive Genetic	Collins SR (2007)	pubmed:17314980	taxid:559292(Saccharomyces cerevisiae S288c	taxid:559292(Saccharomyces cerevisiae S288c	genetic	biogrid	lpr:0000	2	ELP4	IKI1
Q02884	Q06706	ELP4	ELP1	Positive Genetic	Wilmes GM (2008)	pubmed:19061648	taxid:559292(Saccharomyces cerevisiae S288c	taxid:559292(Saccharomyces cerevisiae S288c	genetic	biogrid	lpr:0000	2	ELP4	IKI3
Q04868	P42935	ELP6	ELP2	Positive Genetic	Costanzo M (2010)	pubmed:20093466	taxid:559292(Saccharomyces cerevisiae S288c	taxid:559292(Saccharomyces cerevisiae S288c	genetic	biogrid	lpr:0000	2	ELP6	ELP2
Q04868	Q02908	ELP6	ELP3	Positive Genetic	Wilmes GM (2008)	pubmed:19061648	taxid:559292(Saccharomyces cerevisiae S288c	taxid:559292(Saccharomyces cerevisiae S288c	genetic	biogrid	lpr:0000	2	ELP6	ELP3
Q04868	Q02908	ELP6	ELP3	Positive Genetic	Costanzo M (2010)	pubmed:20093466	taxid:559292(Saccharomyces cerevisiae S288c	taxid:559292(Saccharomyces cerevisiae S288c	genetic	biogrid	lpr:0000	2	ELP6	ELP3
Q04868	Q02884	ELP6	ELP4	Positive Genetic	Wilmes GM (2008)	pubmed:19061648	taxid:559292(Saccharomyces cerevisiae S288c	taxid:559292(Saccharomyces cerevisiae S288c	genetic	biogrid	lpr:0000	2	ELP6	ELP4
Q04868	P38874	ELP6	ELP5	Dosage Rescue	Glatt S (2012)	pubmed:22343726	taxid:559292(Saccharomyces cerevisiae S288c	taxid:559292(Saccharomyces cerevisiae S288c	genetic	biogrid	lpr:0000	2	ELP6	IKI1
Q04868	Q06706	ELP6	ELP1	Positive Genetic	Wilmes GM (2008)	pubmed:19061648	taxid:559292(Saccharomyces cerevisiae S288c	taxid:559292(Saccharomyces cerevisiae S288c	genetic	biogrid	lpr:0000	2	ELP6	IKI3
Q04868	P50105	ELP6	TAF4	Negative Genetic	Collins SR (2007)	pubmed:17314980	taxid:559292(Saccharomyces cerevisiae S288c	taxid:559292(Saccharomyces cerevisiae S288c	genetic	biogrid	lpr:0000	2	ELP6	TAF4
P38874	P42935	ELP5	ELP2	Positive Genetic	Collins SR (2007)	pubmed:17314980	taxid:559292(Saccharomyces cerevisiae S288c	taxid:559292(Saccharomyces cerevisiae S288c	genetic	biogrid	lpr:0000	2	IKI1	ELP2
P38874	Q02908	ELP5	ELP3	Positive Genetic	Wilmes GM (2008)	pubmed:19061648	taxid:559292(Saccharomyces cerevisiae S288c	taxid:559292(Saccharomyces cerevisiae S288c	genetic	biogrid	lpr:0000	2	IKI1	ELP3
P38874	Q02884	ELP5	ELP4	Positive Genetic	Wilmes GM (2008)	pubmed:19061648	taxid:559292(Saccharomyces cerevisiae S288c	taxid:559292(Saccharomyces cerevisiae S288c	genetic	biogrid	lpr:0000	2	IKI1	ELP4
P38874	Q04868	ELP5	ELP6	Positive Genetic	Wilmes GM (2008)	pubmed:19061648	taxid:559292(Saccharomyces cerevisiae S288c	taxid:559292(Saccharomyces cerevisiae S288c	genetic	biogrid	lpr:0000	2	IKI1	ELP6
P38874	Q06706	ELP5	ELP1	Positive Genetic	Wilmes GM (2008)	pubmed:19061648	taxid:559292(Saccharomyces cerevisiae S288c	taxid:559292(Saccharomyces cerevisiae S288c	genetic	biogrid	lpr:0000	2	IKI1	IKI3
Q06706	P42935	ELP1	ELP2	Positive Genetic	Costanzo M (2010)	pubmed:20093466	taxid:559292(Saccharomyces cerevisiae S288c	taxid:559292(Saccharomyces cerevisiae S288c	genetic	biogrid	lpr:0000	2	IKI3	ELP2
Q06706	Q02908	ELP1	ELP3	Positive Genetic	Costanzo M (2010)	pubmed:20093466	taxid:559292(Saccharomyces cerevisiae S288c	taxid:559292(Saccharomyces cerevisiae S288c	genetic	biogrid	lpr:0000	2	IKI3	ELP3
Q06706	Q04868	ELP1	ELP6	Positive Genetic	Costanzo M (2010)	pubmed:20093466	taxid:559292(Saccharomyces cerevisiae S288c	taxid:559292(Saccharomyces cerevisiae S288c	genetic	biogrid	lpr:0000	2	IKI3	ELP6
